pet_mbti,trainer_mbti,mbti_score,activity_match,experience,total_score
ESFP,INTP,0.8969032124290214,-5,1,85.66665912750771
ISFP,ISFP,0.6120205054935137,5,1,79.33474736397818
ENTP,ISTJ,0.6007835984045962,5,4,89.81665681080479
ESFP,ENFJ,0.7727529320719353,0,8,95.0
INFP,ISTP,0.5448799488611502,10,2,95.0
ENTP,ISFP,0.6588645533038427,10,10,95.0
ENTP,INTP,0.6409772572190382,-5,9,90.00781275632445
INFP,ESFJ,0.6114082686714769,5,6,95.0
ESTJ,ESTJ,0.557455304766219,0,9,95.0
ISFP,INTJ,0.8816344727547952,10,3,95.0
ENTJ,ESFJ,0.5077013047474976,0,6,82.39570347431307
ESFJ,INFJ,0.6730108957191763,-5,9,92.17986074193769
ENTJ,ENTJ,0.6225289602209321,5,3,93.2593575136745
ESTJ,ISFJ,0.6887760906913869,0,10,95.0
ISFP,ENFP,0.8662823798511248,0,4,95.0
ISFP,ENFP,0.8074496525457635,5,2,95.0
ISFJ,INFP,0.5484559721677579,10,9,95.0
ESFJ,ENTP,0.5537411374232151,5,5,90.66210833051117
ENFP,INTP,0.5980515070901604,-5,7,84.25895411622655
ENFP,ISTJ,0.7970034383727439,10,10,95.0
ISTJ,ENFJ,0.6476851933244656,-5,2,72.27671367969285
ESTP,INTP,0.7440636954075198,10,7,95.0
ISTJ,ESTJ,0.8754252304598624,-5,10,95.0
ESTJ,ISFP,0.5069684997097013,5,5,86.91116016430429
INFJ,ESTJ,0.5252188721960172,0,3,72.91929789358882
ENTJ,ISTJ,0.8827957998644722,0,1,95.0
INTJ,ISTP,0.7684617531311897,0,1,92.11039106859577
ESTJ,ESTP,0.8839782224927474,5,10,95.0
INFJ,INFP,0.687954065977406,0,1,76.01562880915347
INFJ,ESFJ,0.5997101508391622,-5,2,66.4087619988303
ENTJ,ISTJ,0.8103488978546727,5,7,95.0
ISFP,ISFJ,0.5088712580003975,5,6,95.0
ESTJ,INFJ,0.5890559960473851,-5,4,71.66847008698093
INTJ,INFP,0.69675417627059,10,4,95.0
ESTJ,ENFJ,0.8457467811307693,10,7,95.0
ESTJ,ESFJ,0.6974243818143161,10,7,95.0
ENTP,ISTJ,0.865396624107166,0,10,95.0
ESTP,ISTP,0.7472612251413844,-5,4,75.83632911249858
ESFP,ENTJ,0.535401773764336,0,2,63.35769224014911
ENFJ,ESTJ,0.5612879227387004,0,4,72.34580860922391
ENFJ,ESFP,0.8180641698455127,10,10,95.0
ISTP,ENFP,0.6234354702772824,0,6,86.73112850241725
ESTP,ISFP,0.6859362240663073,-5,6,81.80138477106138
ESFJ,ISTP,0.7436990810848392,10,1,95.0
ENFP,INTP,0.6386651890452106,0,8,95.0
INTP,ENFP,0.8070619962784849,10,7,95.0
INFP,ESTP,0.8850139662489518,5,5,95.0
ESFJ,ESTP,0.7684727971702531,10,1,95.0
ISTJ,INTP,0.615333902506204,-5,1,61.24049715402845
ESFJ,INFJ,0.5958644240793726,5,10,95.0
ISFJ,ESTP,0.8098682893633316,5,8,95.0
INTJ,ISTJ,0.5445770240184442,5,7,95.0
ENFP,INFJ,0.5901834011392505,-5,4,71.04195847144268
ENFJ,INTJ,0.8827061489573838,-5,10,95.0
INTP,ENFJ,0.79446503494076,5,8,95.0
